problem_id,problem_title,problem_url,difficulty_rating,pair_number,bug_category,bug_category_name,bug_description,correct_submission_id,buggy_submission_id,buggy_tests_passed
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,11,T7,Corner Case Omission,"The buggy solution incorrectly handles the assignment of values in the meximum array by not adequately ensuring that the assigned values honor the constraints set by the input tuples, particularly the MEX condition. It also fails to consider the correct placement of values when 'c' is zero, leading to violations of the min and MEX conditions.",372346169,372345100,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,12,T6,State / Initialization,"The buggy solution contains a flaw in its greedy strategy for selecting values to satisfy the constraints, which may lead to an invalid meximum array that does not meet the requirements laid out in the problem statement.",372343712,372342086,7
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,13,T6,State / Initialization,"The buggy solution fails to properly initialize or increment values in the meximum array under the conditions defined by the tuples, thus not ensuring the correct minimum or minimum excluded values as required by the problem.",372340329,372338416,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,14,T1,Integer Overflow / Data Type,"The variable 'target' is incorrectly defined as a boolean instead of an integer, leading to improper handling of numeric values and causing incorrect outputs.",7697723,8487543,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,15,T2,Modular Arithmetic Error,"The buggy solution incorrectly prints 'j' for cases where the MEX condition is satisfied, instead of the required value 'j % target', causing it to potentially output incorrect values.",5582911,4711793,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,16,T3,Off-by-One / Boundary,"The buggy solution incorrectly uses '<' instead of '<=' when marking the affected indices in the req_min and req_mex vectors, effectively missing the right boundary and leading to generating an incorrect array.",6248981,7918329,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,17,T8,I/O and Output Format,"The buggy solution incorrectly combines conditions for outputting values by using an 'or' instead of 'and' for checking requirements, leading to wrong outputs when both req_min and req_mex are true.",8742689,6211581,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,18,T8,I/O and Output Format,The buggy solution fails to account for the case where both minimum and MEX conditions are required simultaneously. It lacks the conditional logic to ensure that the correct output is generated when both constraints apply.,8086594,6519120,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,19,T6,State / Initialization,"The bug in the buggy solution is due to the incorrect static initialization of the arrays req_min and req_mex, which can lead to incorrect states across multiple test cases, as their sizes do not accommodate the maximum possible 'n' value of 100.",6116456,3542145,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,20,T3,Off-by-One / Boundary,"The buggy solution incorrectly skips processing constraints when the left and right indices L and R are equal, missing important cases where the condition should still be applied, leading to possible violations of the requirements.",7606078,9638705,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,21,T8,I/O and Output Format,"The buggy solution outputs results without spaces between the numbers, which causes discrepancies in the expected output format. The correct solution maintains proper spacing.",5486833,2518540,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,22,T3,Off-by-One / Boundary,"The buggy solution incorrectly swaps the values of 'L' and 'R' when reading input, which results in wrong boundaries for the array segments described in the tuples.",5180420,9052928,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,23,T8,I/O and Output Format,"The buggy solution outputs 'target' instead of 'target + 1' when there is no requirement for 'req_mex[j]' but only for 'req_min[j]', which does not satisfy the conditions for a meximum array correctly.",1229857,2006443,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,24,T3,Off-by-One / Boundary,"The buggy solution incorrectly uses zero-based indexing by subtracting 1 from the left index when updating the `req_min` and `req_mex` arrays, which leads to off-by-one errors in the array bounds.",5327302,8236757,1
2157C,Meximum Array 2,https://codeforces.com/contest/2157/problem/C,1400,25,T3,Off-by-One / Boundary,"The buggy solution incorrectly processes the range for the min and mex requirements by starting from 1 instead of L, which causes it to apply the constraints over an incorrect range, leading to wrong results.",1414064,4458116,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,1,T5,Greedy / Algorithmic Flaw,"The buggy solution fails to correctly implement the optimal strategy for both players, leading to incorrect scoring calculations in the case where k is odd. This suggests a flaw in the algorithm's logic for handling the game's mechanics and the impact of turns on the score.",372109286,372108490,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,2,T6,State / Initialization,"The buggy solution contains incorrect logic in the conditional that determines how moves are made based on the previous state of `dp1`, leading to failures in optimal play for both Alice and Bob.",373213805,373212273,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,3,T2,Modular Arithmetic Error,"The buggy solution has an incorrect conditional logic that determines the handling of even and odd values of k. It prematurely outputs the current maximum without considering potential modifications when k is even, leading to incorrect results.",373211200,373200084,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,4,T5,Greedy / Algorithmic Flaw,"The buggy solution does not account for how optimal plays by Alice and Bob can affect each other's score maximization/minimization strategies, leading to incorrect calculation of the final score.",373200430,373199606,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,5,T1,Integer Overflow / Data Type,"The buggy solution uses an integer type (int) for the vector elements and the max score calculation, which can cause overflow when adding large values, leading to incorrect results. The correct solution uses a long long type to mitigate this risk.",373062433,373062368,2
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,6,T6,State / Initialization,"The buggy solution initializes the result variable 'res' with 'v[0]' instead of a more appropriate starting value like '-INF', which can lead to incorrect outcomes if all values in 'v' are negative or the first value is not the maximum achievable.",373018254,373018103,2
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,7,T5,Greedy / Algorithmic Flaw,"The buggy solution incorrectly implements the logic for maximizing the subarray sum during the game. It fails to account for the optimal strategy between Alice and Bob, leading to incorrect calculations of the final score.",373014545,372989695,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,8,T1,Integer Overflow / Data Type,"The buggy solution uses 'int' for the arrays and calculations where 'long long' is needed, risking integer overflow when the values are at their possible maximum.",373004742,373004677,2
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,9,T6,State / Initialization,"The buggy solution fails to correctly account for both players' optimal strategies, leading to an incorrect calculation of the maximum subarray sum after the game. Instead of considering the best scores achieved throughout the turns based on the turns consumed, it incorrectly resets the computations for each possible turn instead of accumulating the effects.",372920166,372916643,6
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,10,T6,State / Initialization,"The buggy solution incorrectly initializes the 'vis' array in the 'solve' function, causing improper state management during the recursive computation, which leads to incorrect results.",372865033,372864842,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,11,T1,Integer Overflow / Data Type,"The buggy solution uses 'int' for the variable 'ans' in the even case, which can cause integer overflow if the maximum sum exceeds the limits of the integer type during calculations. The correct solution uses 'i64' to handle larger sums.",372817804,372817516,2
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,12,T5,Greedy / Algorithmic Flaw,"The buggy solution incorrectly tracks the maximum value from array b (`mx` variable) within a single iteration, rather than ensuring the optimal choices are made for both players, leading to suboptimal score calculation.",372780829,372778628,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,13,T4,Wrong Conditional Logic,"The buggy solution incorrectly computes the maximum value that can be achieved with the first turn based solely on the maximum element of array 'b', instead of considering all potentially optimal operations leading to different subarray sums.",372740530,372739188,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,14,T7,Corner Case Omission,"The buggy solution contains a flaw in its algorithmic approach to computing the final score by incorrectly handling the case when sums of segments are zero or negative, leading to incorrect decisions in maximizing the score.",372737214,372706129,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,15,T6,State / Initialization,"The buggy solution incorrectly initializes and uses the L and R arrays, leading to wrong conditional logic when calculating the maximum subarray sum for odd k. This flaw affects the accuracy of calculating the optimal values during the game turns.",372688679,372688659,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,16,T1,Integer Overflow / Data Type,"The buggy solution uses an 'int' type for the variable 'mx' which can lead to integer overflow for large values, whereas the correct solution uses 'long long' to safely handle larger sums.",372659534,372659504,2
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,17,T5,Greedy / Algorithmic Flaw,"The buggy solution fails to correctly manage the optimal choices for both players, resulting in incorrect calculations for the maximum subarray sum after performing the specified operations. This indicates a flaw in the game strategy algorithm.",372365468,372268871,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,18,T4,Wrong Conditional Logic,"The buggy solution incorrectly uses 'best_end_pre[i-1]' and 'best_end_suff[i+1]' instead of 'max_pre[i-1]' and 'max_suff[i+1]' when calculating potential scores, leading to incorrect conditional logic regarding the maximum score calculation in the game.",372323797,372323685,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,19,T2,Modular Arithmetic Error,"The buggy solution does not account for the optimal play of both players, as it only checks each possible single modification of the array without considering the sequence of operations by both Alice and Bob. This results in missing optimal strategies that could involve different combinations of adding and subtracting values from the array.",372305606,372305465,6
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,20,T3,Off-by-One / Boundary,"The buggy solution initializes the `sum` variable after the summation operation for the `k` is even, which leads to a wrong calculation when updating `sum` and therefore affects the result. The correct solution properly initializes `sum` before using it in the loop.",372301815,372301522,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,21,T2,Modular Arithmetic Error,"The buggy solution does not correctly account for the number of turns (k), leading to incorrect assumptions in how subarrays are summed and modified. The failure to consider the optimal moves correctly results in wrong maximum subarray calculations.",372191416,372191371,2
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,22,T2,Modular Arithmetic Error,The buggy solution incorrectly applies the modifications for each turn sequentially and doesn't account for optimal moves being made by both players. This fails to simulate the strategic nature of the game and leads to incorrect results.,372186823,372165602,6
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,23,T6,State / Initialization,"The buggy solution mistakenly initializes the dp array with -0x3f, which can lead to incorrect results when checking for maximum values during the computation. This is a state initialization error that affects the calculations.",372147460,372147282,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,24,T6,State / Initialization,"The buggy solution incorrectly initializes arrays 'a', 'b', 'l', and 'r' in a loop that runs from 0 to 200000, which does not appropriately reset these arrays for each test case. This leads to incorrect values persisting between test cases, resulting in wrong answers.",372123910,372123808,1
2158C,Annoying Game,https://codeforces.com/contest/2158/problem/C,1400,25,T7,Corner Case Omission,"The buggy solution contains an error in the logic of calculating the current sum for the last move by Bob. Specifically, it improperly resets `cur` when it is less than 0, which could incorrectly handle negative sums and lead to a wrong final score.",372105157,372104859,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,1,T3,Off-by-One / Boundary,"The buggy solution incorrectly uses 1-based indexing for the array input, which causes it to incorrectly reference elements of the arrays 'b' and 'c', leading to an off-by-one error in monster management.",372793180,372743146,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,2,T5,Greedy / Algorithmic Flaw,"The buggy solution incorrectly handles the situation where the damage of a sword obtained from killing a monster is not maximized. Instead of using the maximum of the original sword's damage and the new sword's damage when a monster is killed, it directly inserts the new sword's damage, leading to fewer monsters killed than possible.",372785378,372782638,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,3,T5,Greedy / Algorithmic Flaw,"The buggy solution uses a wrong sorting strategy that only sorts the monsters by their life value, without considering the new sword damage as in the correct solution. This leads to greedy choices that do not maximize the number of monsters killed.",372773972,372773784,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,4,T4,Wrong Conditional Logic,The buggy solution uses 'lower_bound' instead of 'pq.lower_bound' which could lead to incorrect conditional logic when determining if a sword can kill a monster.,372749974,372749704,3
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,5,T5,Greedy / Algorithmic Flaw,"The buggy implementation uses a priority queue for monsters, which can lead to suboptimal decisions when trying to kill monsters. It does not consider the situation optimally since it may choose a weak sword for a monster that could be killed with a stronger sword available later.",372690364,372689918,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,6,T5,Greedy / Algorithmic Flaw,"The buggy solution fails to account for the optimal use of swords and the potential to obtain new swords after defeating monsters, leading to an incorrect number of monsters killed compared to the correct solution.",372616786,372616746,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,7,T8,I/O and Output Format,"The buggy solution has incorrect conditional logic when managing sword usage, leading to premature popping from the priority queue, which causes it to attempt to use a sword that has already been discarded. This results in an incorrect count of dead monsters.",372583270,372580831,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,8,T5,Greedy / Algorithmic Flaw,"The buggy solution fails to implement the correct logic to optimally use swords and handle monster life values, leading to the wrong count of kills in certain scenarios.",372499127,372493595,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,9,T6,State / Initialization,"The buggy solution uses a 'break' statement instead of 'continue' when there are no available swords to kill the monster, which prevents further attempts to kill monsters when swords are available, leading to incorrect results.",372471816,372471685,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,10,T4,Wrong Conditional Logic,"The buggy solution uses 'less than or equal to' in the comparison function, which can lead to incorrect sword selection and thus a wrong answer. It should use 'less than' to ensure only swords that strictly meet or exceed the monster's life are considered.",372457520,372455962,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,11,T4,Wrong Conditional Logic,"The buggy solution has incorrect conditional logic in the comparison function, which leads to an inaccurate sorting of the monsters and ultimately results in a wrong answer.",372411693,372410498,3
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,12,T4,Wrong Conditional Logic,"The buggy solution incorrectly handles the insertion of monsters into the multiset 'mc'. It does not separate the processing of life values and the monster's new sword damage correctly, leading to potential wrong conditional logic when attempting to maximize the monster count.",372406733,372406112,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,13,T6,State / Initialization,"The buggy solution uses the wrong conditional logic when attempting to insert a new sword after killing a monster, which may lead to incorrect updates in the state of available swords.",372344752,372344140,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,14,T4,Wrong Conditional Logic,"The buggy solution incorrectly erases the selected sword from the multiset directly, instead of using an iterator for removal, which leads to incorrect behavior when multiple swords have the same damage value, affecting the conditional logic for monster killing.",372278353,372277994,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,15,T8,I/O and Output Format,"The buggy solution incorrectly handles the condition for killing monsters with the max sword damage, resulting in suboptimal decisions about which swords to use and in what order. This flawed logic leads to a lower count of monsters killed compared to the correct algorithm's more optimal approach.",372239722,372236378,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,16,T7,Corner Case Omission,The buggy solution incorrectly handles cases where monsters can be killed with non-zero sword sizes during both phases of processing. This leads to an incorrect counting of monsters killed since it doesn't appropriately handle the reuse of swords after the first kill.,372195312,372195248,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,17,T4,Wrong Conditional Logic,"The buggy solution does not correctly handle the situation where the monster's life value is lower than the highest available sword damage, causing it to miss opportunities to kill monsters by not appropriately using the swords after running out of them.",372191132,372190815,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,18,T5,Greedy / Algorithmic Flaw,"The buggy solution fails to account for the obtained sword when a monster is killed and the sword's damage is updated, causing it to miss opportunities to kill additional monsters.",372149185,372148374,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,19,T5,Greedy / Algorithmic Flaw,"The buggy solution attempts to implement a greedy algorithm but does not correctly handle the fact that swords are consumed after use. This results in it not maximizing the number of monsters killed, as it does not account for how new swords can be generated after defeating monsters.",372122936,372120153,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,20,T3,Off-by-One / Boundary,"The buggy solution does not separately read the inputs for the monsters' health values and their corresponding sword reinforcements, causing an off-by-one error in how it processes these values. This leads to incorrect comparisons and ultimately results in an incorrect count of the monsters that can be killed.",372115758,372115698,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,21,T7,Corner Case Omission,"The buggy solution does not properly handle the cases where monsters with zero life values are involved, as it neglects to check and process them efficiently, resulting in an inability to maximize the number of monsters killed.",372089072,372088824,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,22,T5,Greedy / Algorithmic Flaw,"The buggy solution uses a greedy approach that prioritizes the largest sword incorrectly and does not account for the fact that using an available sword with lower damage could allow for more kills, leading to fewer monsters being killed overall.",371979320,371976956,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,23,T5,Greedy / Algorithmic Flaw,"The buggy solution implements a flawed logic in handling the priority of which sword to use against the monsters and how it obtains new swords, leading to a greedy algorithm that fails in certain scenarios compared to the correct implementation.",371952460,371942122,3
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,24,T4,Wrong Conditional Logic,"The comparison logic in the priority queue for 'mons' struct is reversed, resulting in incorrect behavior when determining which monster to engage next. This affects the overall killing strategy, leading to fewer monsters killed than possible.",371935607,371935526,1
2164C,Dungeon,https://codeforces.com/contest/2164/problem/C,1400,25,T4,Wrong Conditional Logic,"The buggy solution incorrectly evaluates the conditions when inserting the new sword into the multiset, leading to the wrong number of monsters being killed compared to the correct solution.",371924454,371924147,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,1,T8,I/O and Output Format,"The buggy solution has incorrect conditional logic in determining the maximum valid length of subsequences, specifically in evaluating the relationship between subsequences and their prefixes, which causes it to produce wrong outputs.",373519908,373518482,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,2,T4,Wrong Conditional Logic,"The buggy solution incorrectly checks for the next occurrence of '(' using `str.find('(', i + 1)`, which may skip valid subsequences and lead to incorrect subsequence evaluations.",373499346,373498902,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,3,T5,Greedy / Algorithmic Flaw,"The buggy solution does not properly calculate the maximum length of the subsequence because it fails to account for the possible additional closing brackets after the chosen opening bracket, leading to incorrect evaluation of the maximum length.",373484364,373482354,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,4,T8,I/O and Output Format,"The buggy solution attempts to calculate the maximum regular bracket subsequence by considering the counts of opening and closing brackets on either side, but fails to account for specific structures of the sequence that make a subsequence better than the original, leading to incorrect outputs for some cases.",373397271,373395578,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,5,T6,State / Initialization,"The buggy solution contains an incorrect conditional logic within the loop that evaluates if a regular bracket subsequence can be produced. Specifically, it improperly updates the result variable 'res', leading to the wrong answer in test cases.",373369977,373369625,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,6,T4,Wrong Conditional Logic,"The buggy solution incorrectly determines when to append closing brackets to the string 't', leading to a failure in satisfying the conditions that make 't' better than 's'. This is due to flawed conditional logic in the decision-making process regarding when to append into 't'.",373306468,373304862,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,7,T8,I/O and Output Format,"The buggy solution incorrectly tracks when to increment the count of opening brackets and does not properly handle the logic for determining when a better subsequence can be found, leading to wrong outputs.",373287883,373287807,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,8,T4,Wrong Conditional Logic,"The buggy solution contains an incorrect conditional logic in the loop that updates the `nxt` array, which may lead to an incorrect assignment based on the position of the character, causing the final computation to produce wrong results.",373216283,373216166,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,9,T6,State / Initialization,"The buggy solution incorrectly initializes the last element of the array 'a' based on the value of s[n] instead of considering the need of tracking the index of the last '(' in the full string. This results in incorrect conditional logic when checking valid subsequences, leading to wrong answers.",373213898,373213679,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,10,T8,I/O and Output Format,"The buggy solution incorrectly updates the variable 'k' after processing closing brackets, leading to incorrect conditional checks for forming the subsequence 't'. This flaw in conditional logic results in incorrect outputs compared to the correct solution.",373209063,373208523,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,11,T6,State / Initialization,"The buggy solution incorrectly calculates the maximum length of a subsequence that is better than the original sequence, leading to wrong answers for certain test cases due to misunderstanding the conditions for determining 'better' sequences.",373187322,373186523,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,12,T7,Corner Case Omission,"The buggy solution incorrectly calculates the maximum possible length of a non-empty subsequence. It fails to consider that a valid subsequence must maintain the properties of regular bracket sequences, leading to incorrect answers in some cases.",373064671,373055406,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,13,T8,I/O and Output Format,"The buggy solution has a flawed greedy approach that incorrectly calculates the maximum length of a better subsequence. It does not account for the necessary conditions to ensure a subsequence is better than the original string, leading to incorrect outputs.",373003084,373002308,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,14,T8,I/O and Output Format,"The buggy solution does not correctly implement the logic required to determine if a subsequence is better than the original sequence, leading to incorrect outputs for cases where different combinations of '(' and ')' would yield valid subsequences.",372989097,372987659,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,15,T4,Wrong Conditional Logic,The buggy solution incorrectly checks for subsequences better than the original by using an improper logical condition based on the first closing bracket instead of properly evaluating subsequences based on the entire structure of the bracket sequence.,372967288,372962651,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,16,T4,Wrong Conditional Logic,"The buggy solution contains incorrect conditional logic when calculating the maximum length of the subsequence, leading to misinterpretation of which subsequences are valid and better than the original string.",372926125,372924640,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,17,T4,Wrong Conditional Logic,"The buggy solution incorrectly calculates the maximum length of the subsequence based on the wrong condition for checking whether it is better than the original sequence. The logic for determining the comparison was flawed, leading to incorrect results.",372755446,372754688,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,18,T4,Wrong Conditional Logic,The buggy solution has incorrect conditional logic when checking if the subsequence 'res' is better than the original string 's'. The check does not properly handle the conditions required to compare the two sequences effectively.,372742886,372711047,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,19,T2,Modular Arithmetic Error,The buggy solution attempts to modify the string instead of determining the necessary conditions for a subsequence that is better than the original string. This flawed greedy approach leads to incorrect results.,372731205,372728092,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,20,T4,Wrong Conditional Logic,"The buggy solution incorrectly checks if the characters at indices `j` and `j + 2` are the same, which might lead to wrong conditional logic when determining if a subsequence is better than the input sequence.",372692409,372691263,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,21,T5,Greedy / Algorithmic Flaw,"The buggy solution's logic for determining the length of the subsequence fails to properly account for the condition that `t` must be better than `s`; thus, it produces incorrect results in some cases where a valid better subsequence exists.",372679246,372668350,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,22,T7,Corner Case Omission,The buggy solution incorrectly computes the maximum possible length of the non-empty subsequence that is a regular bracket sequence and is better than the given sequence. It uses flawed logic to determine the counts of opening and closing brackets instead of verifying proper conditions for a subsequence to be considered better.,372676665,372228156,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,23,T7,Corner Case Omission,"The buggy solution fails to correctly determine the conditions under which a valid subsequence can be 'better' than the original sequence. It incorrectly assumes that any non-empty valid sequence shorter by two characters is automatically valid, leading to incorrect results for cases where a proper richer subsequence is necessary.",372614910,372613711,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,24,T5,Greedy / Algorithmic Flaw,"The buggy solution fails to correctly calculate the maximum subsequence that is better than the original sequence because it incorrectly handles the counts of open and close parentheses, thereby violating the logic needed for greedy selection.",372601303,372599399,1
2190B1,Sub-RBS (Easy Version),https://codeforces.com/contest/2190/problem/B1,1400,25,T8,I/O and Output Format,"The buggy solution improperly calculates the size of the longest better subsequence, leading to incorrect outputs for the cases it evaluates. It fails to account for the structural requirements of the bracket sequence, particularly in the manner it handles lengths of consecutive matching brackets.",372582150,372579421,1
2204D,Alternating Path,https://codeforces.com/contest/2204/problem/D,1400,1,T5,Greedy / Algorithmic Flaw,"The buggy solution counts the number of connected components instead of determining the maximum number of beautiful vertices, missing the logic to ensure that all paths from a vertex are alternating in the resulting directed graph.",372970931,372872912,1
